#Special Line;#Line Number;#Graphic;#Text;#Graphic
73;19;;E19;
73;20;;E20;
73;21;;E21;
73;22;;E22;
73;23;;E23;
73;24;;E24;
73;25;;E25;
73;26;;E26;
73;27;;E27;
73;28;;E28;
73;29;;E29;
73;30;;E30;
73;31;;E31;
73;32;;E32;
73;33;;E33;
73;34;;E34;
73;35;;E35;
73;36;;E36;
73;37;;E37;
73;38;;E38;
73;39;;E39;
73;40;;E40;
73;41;;E41;
73;42;;E42;
73;43;;E43;
73;44;;E44;
73;45;;E45;
73;46;;E46;
73;47;;E47;
73;48;;E48;
73;49;;E49;
73;50;;E50;
73;51;;E51;
73;52;;E52;
73;53;;E53;
73;54;;E54;
73;55;;E55;
73;56;;E56;
73;57;;E57;
73;58;;E58;
73;59;;E59;
73;60;;E60;
73;61;;E61;
73;62;;E62;
73;63;;E63;
73;64;;E64;
73;65;;E65;
73;66;;E66;
73;67;;E67;
73;68;;E68;
73;69;;E69;
73;70;;E70;
73;71;;E71;
73;72;;E72;
73;73;;E73;
73;74;;E74;
73;75;;E75;
73;76;;E76;
73;77;;E77;
73;78;;E78;
73;79;;E79;
73;80;;E80;
73;81;;E81;
73;82;;E82;
73;83;;E83;
73;84;;E84;
73;85;;E85;
73;86;;E86;
73;87;;E87;
73;88;;E88;
73;89;;E89;
73;90;;E90;
73;91;;E91;
73;92;;E92;
73;93;;E93;
73;94;;E94;
73;95;;E95;
73;96;;E96;
73;97;;E97;
73;98;;E98;
73;99;;E99;
96;1;;1E;
96;2;Symbols\DS001_02_DS001a_96.png;;Symbols\12inch\DS001_02_DS001a_96.png
96;3;Symbols\DS001_03_DS001a_96.png;;Symbols\12inch\DS001_03_DS001a_96.png
96;4;;4E;
96;5;;5E;
96;6;Symbols\DS001_06_DS001a_96.png;;Symbols\12inch\DS001_06_DS001a_96.png
96;7;;7E;
96;8;Symbols\DS001_08_DS001a_96.png;;Symbols\12inch\DS001_08_DS001a_96.png
96;9;;9E;
96;10;Symbols\DS001_10_DS001a_96.png;;Symbols\12inch\DS001_10_DS001a_96.png
96;11;Symbols\DS001_11_DS001a_96.png;;Symbols\12inch\DS001_11_DS001a_96.png
96;12;;12E;
96;13;;13E;
96;14;Symbols\DS001_14_DS001a_96.png;;Symbols\12inch\DS001_14_DS001a_96.png
96;15;Symbols\DS001_15_DS001a_96.png;;Symbols\12inch\DS001_15_DS001a_96.png
96;16;Symbols\DS001_16_DS001a_96.png;;Symbols\12inch\DS001_16_DS001a_96.png
96;17;Symbols\DS001_17_DS001a_96.png;;Symbols\12inch\DS001_17_DS001a_96.png
96;18;;18E;
96;19;;19E;
96;20;;20E;
96;21;;21E;
96;22;;22E;
96;23;;23E;
96;24;;24E;
96;25;;25E;
96;26;;26E;
96;27;;27E;
96;28;;28E;
96;29;;29E;
96;30;;30E;
96;31;;31E;
96;32;;32E;
96;33;;33E;
96;34;;34E;
96;35;;35E;
96;36;;36E;
96;37;;37E;
96;38;;38E;
96;39;;39E;
96;40;;40E;
96;41;;41E;
96;42;;42E;
96;43;;43E;
96;44;;44E;
96;45;;45E;
96;46;;46E;
96;47;;47E;
96;48;;48E;
96;49;;49E;
96;50;;50E;
96;51;;51E;
96;52;;52E;
96;53;;53E;
96;54;;54E;
96;55;;55E;
96;56;;56E;
96;57;;57E;
96;58;;58E;
96;59;;59E;
96;60;;60E;
96;61;;61E;
96;62;;62E;
96;63;;63E;
96;64;;64E;
96;65;;65E;
96;66;;66E;
96;67;;67E;
96;68;;68E;
96;69;;69E;
96;70;;70E;
96;71;;71E;
96;72;;72E;
96;73;;73E;
96;74;;74E;
96;75;;75E;
96;76;;76E;
96;77;;77E;
96;78;;78E;
96;79;;79E;
96;80;;80E;
96;81;;81E;
96;82;;82E;
96;83;;83E;
96;84;;84E;
96;85;;85E;
96;86;;86E;
96;87;;87E;
96;88;;88E;
96;89;;89E;
96;90;;90E;
96;91;;91E;
96;92;;92E;
96;93;;93E;
96;94;;94E;
96;95;;95E;
96;96;;96E;
96;97;;97E;
96;98;;98E;
96;99;;99E;
82;*;Symbols\DS001a_82.png;;Symbols\12inch\DS001a_82.png
83;*;Symbols\DS001a_83.png;;Symbols\12inch\DS001a_83.png
84;*;Symbols\DS001a_84.png;;Symbols\12inch\DS001a_84.png
85;*;Symbols\DS001a_85.png;;Symbols\12inch\DS001a_85.png
86;*;Symbols\DS001a_86.png;;Symbols\12inch\DS001a_86.png
87;*;Symbols\DS001a_87.png;;Symbols\12inch\DS001a_87.png
88;*;Symbols\DS001a_88.png;;Symbols\12inch\DS001a_88.png
89;*;Symbols\DS001a_89.png;;Symbols\12inch\DS001a_89.png
91;*;Symbols\DS001a_91.png;;Symbols\12inch\DS001a_91.png
92;*;Symbols\DS001a_92.png;;Symbols\12inch\DS001a_92.png
93;*;Symbols\DS001a_93.png;;Symbols\12inch\DS001a_93.png
94;*;Symbols\DS001a_94.png;;Symbols\12inch\DS001a_94.png
95;*;Symbols\DS001a_95.png;;Symbols\12inch\DS001a_95.png
97;*;Symbols\DS001a_97.png;;Symbols\12inch\DS001a_97.png
98;*;Symbols\DS001a_98.png;;Symbols\12inch\DS001a_98.png
99;*;Symbols\DS001a_99.png;;Symbols\12inch\DS001a_99.png
0;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
0;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
0;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
1;;;1;
2;;;2;
3;;;3;
4;;;4;
5;;;5;
6;;;6;
7;;;7;
8;;;8;
9;;;9;
10;*;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
11;*;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
12;*;;12;
13;*;;13;
14;*;;14;
15;*;;15;
16;*;;16;
17;*;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
18;*;;18;
19;*;;19;
20;*;;20;
21;*;;21;
22;*;;22;
23;*;;23;
24;*;;24;
25;*;;25;
26;*;;26;
27;*;;27;
28;*;;28;
29;*;;29;
30;*;;30;
31;*;;31;
32;*;;32;
33;*;;33;
34;*;;34;
35;*;;35;
36;*;;36;
37;*;;37;
38;*;;38;
39;*;;39;
40;*;;40;
41;*;;41;
42;*;;42;
43;*;;43;
44;*;;44;
45;*;;45;
46;*;;46;
47;*;;47;
48;*;;48;
49;*;;49;
50;*;;50;
51;*;;51;
52;*;;52;
53;*;;53;
54;*;;54;
55;*;;55;
56;*;;56;
57;*;;57;
58;*;;58;
59;*;;59;
60;*;;60;
61;*;;61;
62;*;;62;
63;*;;63;
64;*;;64;
65;*;;65;
66;*;;66;
67;*;;67;
68;*;;68;
69;*;;69;
70;*;;70;
74;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
75;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
76;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
77;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
78;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
79;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
80;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
81;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
90;10;Symbols\DS001_10.png;;Symbols\12inch\DS001_10.png
74;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
75;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
76;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
77;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
78;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
79;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
80;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
81;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
90;11;Symbols\DS001_11.png;;Symbols\12inch\DS001_11.png
74;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
75;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
76;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
77;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
78;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
79;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
80;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
81;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
90;17;Symbols\DS001_17.png;;Symbols\12inch\DS001_17.png
